ID,CasopisyID,InstituceID,Casopisy,Instituce
1,1,45,Acta Universitatis Palackianae Olomucensis – Facultas Philosophica – Sociologica et Andragogica,Palackého univerzita v Olomouci
2,6,15,Data a výzkum – SDA info,Sociologický ústav AV ČR
3,8,29,Fórum sociální politiky,Výzkumný ústav práce a sociálních věcí
4,9,15,"Gender, rovné příležitosti, výzkum",Sociologický ústav AV ČR
5,10,10,Historická demografie,Etnologický ústav AV ČR
6,10,15,Historická demografie,Sociologický ústav AV ČR
7,10,39,Historická demografie,Karlova univerzita v Praze
8,11,39,Historická sociologie,Karlova univerzita v Praze
9,12,67,Kruh,Sociologický kruh posluchačů vysokých škol pražských
10,13,39,Lidé města,Karlova univerzita v Praze
11,15,15,Naše společnost,Sociologický ústav AV ČR
12,18,26,Přehled vědecké a pedagogické práce kateder marxismu-leninismu,Ústav sociálně politických věd UK
13,19,41,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G),Masarykova univerzita v Brně
14,26,65,Sociální problémy,Masarykova sociologická společnost
15,26,68,Sociální problémy,Společnost pro sociální bádání
16,26,70,Sociální problémy,Knihovna Sociálních problémů
17,27,20,Sociální revue,Sociální ústav ČSR
18,30,41,Sociální studia,Masarykova univerzita v Brně
19,31,45,Sociologica,Palackého univerzita v Olomouci
20,32,21,Sociologická revue,Ukrajinský sociologický ústav
21,32,39,Sociologická revue,Karlova univerzita v Praze
22,32,41,Sociologická revue,Masarykova univerzita v Brně
23,32,65,Sociologická revue,Masarykova sociologická společnost
24,34,4,Sociologický časopis / Czech Sociological Review,Vědecké kolegium filosofie a sociologie ČSAV
25,34,15,Sociologický časopis / Czech Sociological Review,Sociologický ústav AV ČR
26,34,22,Sociologický časopis / Czech Sociological Review,Ústav pro filosofii a sociologii ČSAV
27,36,11,Sociologie a historie zemědělství,Institut sociologie venkova a historie zemědělství VÚZEI
28,37,19,Statistický obzor,Státní úřad statistický
29,38,19,Statistika,Státní úřad statistický
30,40,39,Studia sociologica,Karlova univerzita v Praze
31,41,7,Veřejné mínění,Československý ústav pro výzkum veřejného mínění
32,42,26,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy,Ústav sociálně politických věd UK
36,43,9,Analýza (časopis),Dům techniky ČSVTS Pardubice
38,26,19,Sociální problémy,Státní úřad statistický
42,44,19,Demografie (časopis),Státní úřad statistický
45,33,22,Sociologické aktuality,Ústav pro filosofii a sociologii ČSAV
51,36,35,Sociologie a historie zemědělství,Česká zemědělská univerzita v Praze
53,33,63,Sociologické aktuality,Česká sociologická společnost
55,27,65,Sociální revue,Masarykova sociologická společnost
59,33,73,Sociologické aktuality,Sociologické nakladatelství (SLON)
