id,id1,id2,name1,name2,atr
1,1,10,1969-1989,Etnologický ústav AV ČR,10++Historická demografie
2,1,39,1969-1989,Karlova univerzita v Praze,10++Historická demografie
3,1,26,1969-1989,Ústav sociálně politických věd UK,18++Přehled vědecké a pedagogické práce kateder marxismu-leninismu
4,1,41,1969-1989,Masarykova univerzita v Brně,19++Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
5,1,45,1969-1989,Palackého univerzita v Olomouci,31++Sociologica
6,1,4,1969-1989,Vědecké kolegium filosofie a sociologie ČSAV,34++Sociologický časopis / Czech Sociological Review
7,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,34++Sociologický časopis / Czech Sociological Review
8,1,11,1969-1989,Institut sociologie venkova a historie zemědělství VÚZEI,36++Sociologie a historie zemědělství
9,1,39,1969-1989,Karlova univerzita v Praze,40++Studia sociologica
10,1,9,1969-1989,Dům techniky ČSVTS Pardubice,43++Analýza (časopis)
11,1,22,1969-1989,Ústav pro filosofii a sociologii ČSAV,33++Sociologické aktuality
12,1,35,1969-1989,Česká zemědělská univerzita v Praze,36++Sociologie a historie zemědělství
