index,instituce
1,Česká akademie věd a umění
2,Grantová agentura České republiky
3,"Rada pro výzkum, vývoj a inovace"
4,Vědecké kolegium filosofie a sociologie ČSAV
5,Československá akademie zemědělská
6,Československý ústav zahraniční
7,Československý ústav pro výzkum veřejného mínění
8,Československý ústav práce
9,Dům techniky ČSVTS Pardubice
10,Etnologický ústav AV ČR
11,Institut sociologie venkova a historie zemědělství VÚZEI
12,Masarykova akademie práce
13,Slezský studijní ústav v Opavě
14,Slezský ústav v Praze
15,Sociologický ústav AV ČR
16,Sociologický ústav ČSAV
17,Sociologický ústav ČSS
18,Sportpropag
19,Státní úřad statistický
20,Sociální ústav ČSR
21,Ukrajinský sociologický ústav
22,Ústav pro filosofii a sociologii ČSAV
23,Ústav pro sociální a hospodářskou výchovu ČSS
24,Ústav pro výzkum veřejného mínění ČSAV
25,Ústav pro výzkum veřejného mínění FSÚ
26,Ústav sociálně politických věd UK
27,Ústav vědeckého ateismu ČSAV
28,Vojenský sociologický kruh
29,Výzkumný ústav práce a sociálních věcí
30,Výzkumný ústav sociálního rozvoje a práce
31,Výzkumný ústav strojírenské technologie a ekonomiky
32,Výzkumný ústav výstavby a architektury
33,Biskupské semináře
34,Česká technická vysoká škola v Brně
35,Česká zemědělská univerzita v Praze
36,České vysoké učení technické v Praze
37,Husova československá evangelická teologická fakulta v Praze
38,Jihočeská univerzita v Českých Budějovicích
39,Karlova univerzita v Praze
40,Komenského univerzita v Bratislavě
41,Masarykova univerzita v Brně
42,Mendelova univerzita v Brně
43,Německá univerzita v Praze
44,Ostravská univerzita v Ostravě
45,Palackého univerzita v Olomouci
46,Slezská univerzita v Opavě
47,Svobodná škola politických nauk v Praze
48,Ukrajinská svobodná univerzita v Praze
49,Univerzita Hradec Králové
50,Univerzita J. E. Purkyně v Ústí nad Labem
51,Univerzita Pardubice
52,Vojenská politická akademie Klementa Gottwalda v Praze
53,Vysoká škola CEVRO Institut v Praze
54,Vysoká škola ekonomická v Praze
55,Vysoká škola finanční a správní v Praze
56,Vysoká škola politická a sociální v Praze
57,Vysoká škola politická ÚV KSČ v Praze
58,Vysoká škola sociální v Brně
59,Vysoká škola strojní a elektrotechnická v Plzni
60,Západočeská univerzita v Plzni
61,Česká asociace pro sociální antropologii
62,Česká demografická společnost
63,Česká sociologická společnost
64,Československá sociologická společnost při ČSAV
65,Masarykova sociologická společnost
66,Socioklub
67,Sociologický kruh posluchačů vysokých škol pražských
68,Společnost pro sociální bádání
69,Spolek pro založení a vydržování soukromého institutu věd sociologických a filosofických
70,Knihovna Sociálních problémů
71,Sociologická knihovna MSS
72,Sociologická knižnice nakladatelství Svoboda
73,Sociologické nakladatelství (SLON)
