index,Nazev
1,Acta Universitatis Palackianae Olomucensis – Facultas Philosophica – Sociologica et Andragogica
2,Athenaeum
3,Biograf
4,Časopis Svobodné školy politických nauk v Praze
5,Česká mysl
6,Data a výzkum – SDA info
7,Filosofický časopis
8,Fórum sociální politiky
9,"Gender, rovné příležitosti, výzkum"
10,Historická demografie
11,Historická sociologie
12,Kruh
13,Lidé města
14,Naše doba
15,Naše společnost
16,Nová mysl
17,Pohledy
18,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
19,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
20,"Sborník prací Filozofické fakulty Ostravské univerzity – Filozofie, sociologie, psychologie"
21,Sociální budoucnost
22,Sociální péče
23,Sociální práce
24,Sociální práce / Sociálna práca
25,Sociální pracovnice
26,Sociální problémy
27,Sociální revue
28,Sociální rozhledy
29,Sociální snahy
30,Sociální studia
31,Sociologica
32,Sociologická revue
33,Sociologické aktuality
34,Sociologický časopis / Czech Sociological Review
35,Sociologický obzor
36,Sociologie a historie zemědělství
37,Statistický obzor
38,Statistika
39,Statistika a demografie
40,Studia sociologica
41,Veřejné mínění
42,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
43,Analýza (časopis)
44,Demografie (časopis)
45,Parlament (časopis)
46,Teorie vědy (časopis)
